第1名,['Apple iPhone 14 Pro Max (A2896) 256GB 暗紫色 支持移动联通电信5G 双卡双待'],售价：,['9899.00'],元
第2名,['Apple iPhone 14 Pro  (A2892) 256GB 暗紫色 支持移动联通电信5G 双卡双待'],售价：,['8899.00'],元
第3名,['Apple iPhone 14 (A2884) 256GB 星光色 支持移动联通电信5G 双卡双待'],售价：,['6899.00'],元
第4名,['Apple iPhone 13 (A2634) 128GB 星光色 支持移动联通电信5G 双卡双待'],售价：,['5099.00'],元
第5名,['小米13 徕卡光学镜头 第二代骁龙8处理器 超窄边屏幕 120Hz高刷 67W快充 12+256GB 黑色 5G'],售价：,['4599.00'],元
第6名,['Apple iPhone 14 Plus (A2888) 256GB 星光色 支持移动联通电信5G 双卡双待'],售价：,['7899.00'],元
第7名,"['OPPO K9x 8GB+128GB 银紫超梦 天玑810 5000mAh长续航 33W快充 90Hz电竞屏 6400万三摄 拍照5G', 'oppok9x']",售价：,['1299.00'],元
第8名,"['Apple iPhone 14 Pro Max (A2896) 256GB 暗紫色 支持移动联通电信5G 双卡双待', '【大王卡】']",售价：,['9469.00'],元
第9名,"['Apple iPhone 14 Pro (A2892) 256GB 暗紫色 支持移动联通电信5G 双卡双待', '【大王卡】']",售价：,['8399.00'],元
第10名,['HUAWEI Mate 50 直屏旗舰 超光变XMAGE影像 北斗卫星消息 低电量应急模式 256GB曜金黑华为鸿蒙'],售价：,['5499.00'],元
第11名,['小米13 Pro 徕卡光学镜头 第二代骁龙8处理器 2K曲面屏 120Hz高刷 120W秒充 12+512GB 陶黑色 5G'],售价：,['6299.00'],元
第12名,['HUAWEI Mate 50 Pro 曲面旗舰 超可靠昆仑玻璃 超光变XMAGE影像 北斗卫星消息 256GB 曜金黑 华为鸿蒙'],售价：,['6999.00'],元
第13名,"['三星 SAMSUNG 心系天下 三星 W23 非凡陶瓷 尊奢铰链 瑰丽边框 16GB+512GB 5G折叠', ' 熠金黑 附S Pen']",售价：,['15999.00'],元
第14名,['HUAWEI P50 原色双影像单元 基于鸿蒙操作系统 万象双环设计 支持66W超级快充 8GB+256GB曜金黑 华为'],售价：,['4258.00'],元
第15名,"['Redmi K40S 骁龙870 三星E4 AMOLED 120Hz直屏 OIS光学防抖  亮黑 12GB+256GB 5G智能', ' 小米红米']",售价：,['1898.00'],元
第16名,['\t\nOPPO 一加 Ace 竞速版 12GB+256GB竞技灰享OPPO官方售后 天玑8100-MAX 120Hz变速电竞直屏游戏稳帧引擎5G'],售价：,['2099.00'],元
第17名,"['荣耀70 IMX800三主摄 双曲屏设计 高通骁龙778G Plus 66W快充 5G', ' 8GB+256GB 墨玉青']",售价：,['2289.00'],元
第18名,['OPPO 一加 Ace Pro 16GB+256GB 黑森 享OPPO官方售后 骁龙8+旗舰芯 长寿版150W闪充 游戏稳帧引擎 5G游戏'],售价：,['3769.00'],元
第19名,['小米12 Pro 天玑版 天玑9000+处理器 5000万疾速影像 2K超视感屏 120Hz高刷 67W快充 12GB+256GB 黑色 5G'],售价：,['3499.00'],元
第20名,['HUAWEI nova 10 【内置66W华为超级快充】 前置6000万超广角镜头 6.88mm轻薄机身 256GB 曜金黑 华为'],售价：,['2749.00'],元
第21名,['OPPO Find N2 16GB+512GB 素黑 骁龙8+ 超轻折叠设计 内外120Hz镜面屏 多角度自由悬停 67W闪充 5G折叠屏'],售价：,['8999.00'],元
第22名,['OPPO A55s 8GB+128GB 轻快蓝  双模5G 超大存储 5000mAh超大电池 长续航 后置AI三摄 超清画质 拍照'],售价：,['1099.00'],元
第23名,['vivo X90 Pro+ 12GB+512GB 原黑 蔡司一英寸T*主摄 自研芯片V2 第二代骁龙8移动平台 5G 拍照 '],售价：,['6999.00'],元
第24名,"['Redmi Note 11 5G 天玑810 33W Pro快充 5000mAh大电池  8GB +256GB 神秘黑境 智能', ' 小米 红米']",售价：,['1299.00'],元
第25名,"['Apple iPhone 13 mini (A2629) 128GB 星光色 ', ' 支持移动联通电信5G ']",售价：,['4699.00'],元
第26名,['荣耀X30 骁龙6nm疾速5G芯 66W超级快充 120Hz全视屏 全网通版 8GB+128GB 钛空银'],售价：,['1399.00'],元
第27名,"['vivo iQOO 11 12GB+256GB 传奇版 第二代骁龙8 2K 144Hz E6全感屏 120W闪充 自研芯片V2 5G电竞', 'iqoo11']",售价：,['4399.00'],元
第28名,['HUAWEI Mate 50 RS 保时捷设计 北斗卫星消息 超光变XMAGE影像 超微距长焦摄像头 512GB墨蓝瓷华为鸿蒙'],售价：,['12999.00'],元
第29名,"['荣耀X40 120Hz OLED硬核曲屏 5100mAh 快充大电池 7.9mm轻薄设计 5G', ' 8GB+128GB 彩云追月']",售价：,['1699.00'],元
第30名,"['荣耀80 1.6亿像素超清主摄 AI Vlog视频大师 全新Magic OS 7.0系统 5G', ' 8GB+256GB 碧波微蓝']",售价：,['2699.00'],元
